service,n1,s1,n2,s2,n3,s3,n4,s4,n5,s5
ABTEST,NOTIFY,0.9999999999809024,MKTDB,0.9999999999349333,DYNPRC,0.9999999998786389,XCHATTR,0.9999999997867001,TAXCALC,0.9999999996770227
AIRFLW,HMFRP,0.999999998609385,YELLOWS,0.9999999953721767,KAFKA,0.9999999888122127,DDSD,0.9999999793005887,ELASTIC,0.9999996950612356
ANALAPI,AUTOML,0.9999992614814076,RISKMG,0.9999991143549807,BILLING,0.9999989627174771,GLOBCMP,0.9999989224119094,SUPCHN,0.9999988448202543
APIGWY,SNAPINT,0.9999999992863867,MULTILNG,0.9999999971777137,SLSDB,0.9999999962098263,TAXCALC,0.9999999958172383,XCHATTR,0.9999999955270946
ATLAS,DATAHUB,0.9999896440875172,MDLREG,0.9999718818442569,JPNXPP,0.999951212040954,SPARK,0.9999474668239722,PANDRA,0.9999318254451391
AUTOML,RISKMG,0.9999999930268135,BILLING,0.9999999744404572,GLOBCMP,0.9999999675906348,SUPCHN,0.9999999532220397,PAYPROC,0.9999998582373713
AWS,AZURE,0.9999999999941895,SNWFLK,0.9999999999270122,DBRCKS,0.9999999998043644,HMFRP,0.7071067811150845,AIRFLW,0.7071067796016148
AZURE,AWS,0.9999999999941895,SNWFLK,0.9999999999622053,DBRCKS,0.9999999998659184,HMFRP,0.7071067811452451,AIRFLW,0.7071067797588978
BILLING,GLOBCMP,0.999999999573766,SUPCHN,0.9999999968161862,RISKMG,0.9999999940065972,AUTOML,0.9999999744404572,PAYPROC,0.9999999528774104
CHURNP,FINPLAN,0.9999999791190787,INVOPT,0.9999998271869271,RTDASH,0.9999997446540816,GEOANL,0.9999995496414685,TRNPIPE,0.9999972450839603
CLVMDL,FRDETCT,0.9999867575340989,JPCHRN,0.9999861324591605,CSTSEG,0.9999657701919727,NXPCR,0.9996663214715518,FINPLAN,0.9983495941850906
COHORT,MDLMON,0.9999999997091353,EXPENSE,0.9999999993846884,ECOMLP,0.9999999988430851,HRANAL,0.9999999985478576,MOBAPP,0.9999999948105134
COMPLT,YGSCST,0.9993169545279368,SELENE,0.9993059929680114,FEATSTR,0.9993050391297625,YGCHRN,0.9992906248234389,YGCLV,0.9992629508681211
CSSRVS,WHLSLP,0.9999999999955765,JRNYANL,0.9999999999943455,TEMPANL,0.9999999998982382,DEMAND,0.9999999997698144,DATARES,0.9999999994512166
CSTSEG,JPCHRN,0.9999950283282881,FRDETCT,0.9999912877150843,CLVMDL,0.9999657701919727,NXPCR,0.999845795314919,FINPLAN,0.99879030604854
CURRCNV,QUALITY,0.9999999953252524,PROJMG,0.9999999920317129,WEBHOOK,0.9999999840678591,RECV2,0.9999999613174918,MOBAPP,0.999999949177092
CUSTPRT,FINRPT,0.9999999941311263,PAYPROC,0.9999999346525317,SUPCHN,0.9999998265681724,GLOBCMP,0.9999997945301691,BILLING,0.9999997766409022
DATAHUB,ATLAS,0.9999896440875172,JPNXPP,0.9999858112276131,SPARK,0.9999837595740755,PANDRA,0.9999746108777204,REDIS,0.9999742631005584
DATARES,TEMPANL,0.9999999997003005,JRNYANL,0.9999999995332693,CSSRVS,0.9999999994512166,SUPTKT,0.999999999428577,WHLSLP,0.9999999993502956
DBRCKS,SNWFLK,0.9999999999700669,AZURE,0.9999999998659184,AWS,0.9999999998043644,HMFRP,0.7071067811754743,AIRFLW,0.707106780398929
DDSD,KAFKA,0.999999998543173,YELLOWS,0.9999999942386285,AIRFLW,0.9999999793005887,HMFRP,0.9999999671797665,ELASTIC,0.999999833240568
DEMAND,WHLSLP,0.9999999998077006,CSSRVS,0.9999999997698144,JRNYANL,0.9999999996972988,TEMPANL,0.9999999993770786,DATARES,0.9999999988673025
DRUID,JIJOFS,0.9999906509744881,YGASTORE,0.999989467655389,ELASTIC,0.9999880076118437,DDSD,0.999985012586607,KAFKA,0.9999847162621179
DYNPRC,XCHATTR,0.9999999999871232,MKTDB,0.9999999999613916,TAXCALC,0.9999999999278973,SLSDB,0.9999999999001081,ABTEST,0.9999999998786389
ECOMLP,HRANAL,0.9999999999701736,EXPENSE,0.999999999905288,COHORT,0.9999999988430851,MDLMON,0.9999999982876707,MOBAPP,0.999999988801837
ELASTIC,YGASTORE,0.9999999524861537,JIJOFS,0.9999998351075192,DDSD,0.999999833240568,KAFKA,0.9999998006904267,YELLOWS,0.9999997655567712
EXCS,MCSCBT,0.9996939039366052,TRNPIPE,0.997935745492036,GEOANL,0.9978374720714935,RTDASH,0.9978315385934483,INVOPT,0.9978162099796537
EXPENSE,ECOMLP,0.999999999905288,HRANAL,0.9999999998230087,COHORT,0.9999999993846884,MDLMON,0.9999999988128071,MOBAPP,0.9999999906232312
FEATSTR,YGSCST,0.9999983028307461,YGCHRN,0.9999982488485646,YGCLV,0.9999976745105262,SELENE,0.999996635589781,COMPLT,0.9993050391297625
FINPLAN,CHURNP,0.9999999791190787,INVOPT,0.9999997014696956,RTDASH,0.999999584698104,GEOANL,0.9999993539130617,TRNPIPE,0.9999967453181129
FINRPT,CUSTPRT,0.9999999941311263,PAYPROC,0.9999999677595244,SUPCHN,0.9999998841523933,GLOBCMP,0.9999998577510205,BILLING,0.9999998426817291
FRDETCT,JPCHRN,0.9999989115733443,CSTSEG,0.9999912877150843,CLVMDL,0.9999867575340989,NXPCR,0.9997750377493408,FINPLAN,0.9986094399816552
GEOANL,INVOPT,0.9999999333172461,RTDASH,0.9999997876165053,CHURNP,0.9999995496414685,FINPLAN,0.9999993539130617,TRNPIPE,0.999998851256271
GLOBAGG,SEARCH,0.9999999956421058,NOTIFY,0.999999993402891,ABTEST,0.9999999927042154,MKTDB,0.9999999917336272,DYNPRC,0.9999999907667094
GLOBCMP,BILLING,0.999999999573766,SUPCHN,0.9999999986409803,RISKMG,0.9999999905789207,AUTOML,0.9999999675906348,PAYPROC,0.9999999609307701
HEALTH,VIBEFLX,0.9999999999272916,SENTANL,0.9999999424463789,YGCLEB,0.9999999160047905,YGAMRKT,0.999999907995884,YGSCPA,0.999999906440188
HMFRP,AIRFLW,0.999999998609385,YELLOWS,0.9999999889109482,KAFKA,0.9999999795349649,DDSD,0.9999999671797665,ELASTIC,0.9999996524934386
HRANAL,ECOMLP,0.9999999999701736,EXPENSE,0.9999999998230087,COHORT,0.9999999985478576,MDLMON,0.9999999978351766,MOBAPP,0.9999999878726158
INVOPT,GEOANL,0.9999999333172461,RTDASH,0.9999998593128289,CHURNP,0.9999998271869271,FINPLAN,0.9999997014696956,TRNPIPE,0.9999983112414546
JAPNDB,POSIDN,0.9999999971700713,REDIS,0.9999999927765486,PANDRA,0.999999985734288,SPARK,0.99999872724648,JPNXPP,0.9999980642652634
JIJOFS,YGASTORE,0.9999999635925496,ELASTIC,0.9999998351075192,DDSD,0.999999337102443,KAFKA,0.9999992737798343,YELLOWS,0.999999208062179
JPCHRN,FRDETCT,0.9999989115733443,CSTSEG,0.9999950283282881,CLVMDL,0.9999861324591605,NXPCR,0.9997874138276013,FINPLAN,0.9986363877933627
JPNXPP,SPARK,0.9999999307342532,PANDRA,0.999998382091543,REDIS,0.9999982933908708,JAPNDB,0.9999980642652634,POSIDN,0.9999979134341639
JRNYANL,CSSRVS,0.9999999999943455,WHLSLP,0.9999999999809618,TEMPANL,0.9999999999404426,DEMAND,0.9999999996972988,DATARES,0.9999999995332693
KAFKA,YELLOWS,0.9999999985743742,DDSD,0.999999998543173,AIRFLW,0.9999999888122127,HMFRP,0.9999999795349649,ELASTIC,0.9999998006904267
MCSCBT,EXCS,0.9996939039366052,TRNPIPE,0.9992189599389785,GEOANL,0.9991580686033193,RTDASH,0.9991541753194869,INVOPT,0.9991447448351714
MDLMON,COHORT,0.9999999997091353,EXPENSE,0.9999999988128071,ECOMLP,0.9999999982876707,HRANAL,0.9999999978351766,MOBAPP,0.9999999954110502
MDLREG,ATLAS,0.9999718818442569,DATAHUB,0.9999273980264194,JPNXPP,0.999849020326346,SPARK,0.9998424846411605,PANDRA,0.9998161455509592
MKTDB,DYNPRC,0.9999999999613916,ABTEST,0.9999999999349333,XCHATTR,0.9999999999173931,TAXCALC,0.9999999998935339,NOTIFY,0.9999999998566806
MLOPS,ANALAPI,0.9999938836297508,AUTOML,0.999988894718359,RISKMG,0.9999883432826245,BILLING,0.9999878088208529,GLOBCMP,0.9999876718599
MOBAPP,RECV2,0.9999999991713089,MDLMON,0.9999999954110502,COHORT,0.9999999948105134,EXPENSE,0.9999999906232312,WEBHOOK,0.9999999899702915
MULTILNG,SUPTKT,0.999999999383921,SNAPINT,0.9999999991066038,DATARES,0.9999999988353758,TEMPANL,0.9999999981616845,JRNYANL,0.9999999974701413
NOTIFY,ABTEST,0.9999999999809024,MKTDB,0.9999999998566806,DYNPRC,0.9999999997632644,SEARCH,0.999999999756618,XCHATTR,0.9999999996399681
NXPCR,CSTSEG,0.999845795314919,JPCHRN,0.9997874138276013,FRDETCT,0.9997750377493408,CLVMDL,0.9996663214715518,FINPLAN,0.9994997060247685
PANDRA,REDIS,0.9999999987562962,JAPNDB,0.999999985734288,POSIDN,0.999999970199536,SPARK,0.9999989822217223,JPNXPP,0.999998382091543
PAYPROC,SUPCHN,0.9999999741323284,FINRPT,0.9999999677595244,GLOBCMP,0.9999999609307701,BILLING,0.9999999528774104,CUSTPRT,0.9999999346525317
POSIDN,JAPNDB,0.9999999971700713,REDIS,0.9999999809172468,PANDRA,0.999999970199536,SPARK,0.9999986044164488,JPNXPP,0.9999979134341639
PROJMG,QUALITY,0.9999999995628286,WEBHOOK,0.9999999983119604,CURRCNV,0.9999999920317129,RECV2,0.9999999883425064,MOBAPP,0.9999999812991333
QUALITY,PROJMG,0.9999999995628286,WEBHOOK,0.9999999964356117,CURRCNV,0.9999999953252524,RECV2,0.9999999834670867,MOBAPP,0.9999999752357095
RECV2,MOBAPP,0.9999999991713089,WEBHOOK,0.9999999948496211,MDLMON,0.9999999907678994,COHORT,0.9999999898357896,PROJMG,0.9999999883425064
REDIS,PANDRA,0.9999999987562962,JAPNDB,0.9999999927765486,POSIDN,0.9999999809172468,SPARK,0.9999989116942583,JPNXPP,0.9999982933908708
RISKMG,BILLING,0.9999999940065972,AUTOML,0.9999999930268135,GLOBCMP,0.9999999905789207,SUPCHN,0.9999999821218892,PAYPROC,0.9999999132805875
RTDASH,INVOPT,0.9999998593128289,GEOANL,0.9999997876165053,CHURNP,0.9999997446540816,FINPLAN,0.999999584698104,TRNPIPE,0.9999985586091201
SEARCH,NOTIFY,0.999999999756618,ABTEST,0.9999999996175722,MKTDB,0.9999999993726983,DYNPRC,0.99999999909541,XCHATTR,0.999999998872584
SELENE,YGSCST,0.9999996505384985,YGCHRN,0.9999996040732541,YGCLV,0.9999990333609399,FEATSTR,0.999996635589781,COMPLT,0.9993059929680114
SENTANL,YGCLEB,0.9999999975058851,YGAMRKT,0.9999999959752374,YGSCPA,0.9999999956447094,VIBEFLX,0.9999999464646386,HEALTH,0.9999999424463789
SLSDB,TAXCALC,0.9999999999882231,XCHATTR,0.9999999999509803,DYNPRC,0.9999999999001081,MKTDB,0.9999999998252435,ABTEST,0.9999999995823879
SNAPINT,APIGWY,0.9999999992863867,MULTILNG,0.9999999991066038,SUPTKT,0.9999999983720868,DATARES,0.9999999964015691,TEMPANL,0.9999999961241728
SNWFLK,DBRCKS,0.9999999999700669,AZURE,0.9999999999622053,AWS,0.9999999999270122,HMFRP,0.7071067811844841,AIRFLW,0.7071067801195762
SPARK,JPNXPP,0.9999999307342532,PANDRA,0.9999989822217223,REDIS,0.9999989116942583,JAPNDB,0.99999872724648,POSIDN,0.9999986044164488
SUPCHN,GLOBCMP,0.9999999986409803,BILLING,0.9999999968161862,RISKMG,0.9999999821218892,PAYPROC,0.9999999741323284,AUTOML,0.9999999532220397
SUPTKT,TEMPANL,0.9999999995199698,DATARES,0.999999999428577,MULTILNG,0.999999999383921,JRNYANL,0.9999999991253559,CSSRVS,0.9999999989816262
TAXCALC,SLSDB,0.9999999999882231,XCHATTR,0.999999999956921,DYNPRC,0.9999999999278973,MKTDB,0.9999999998935339,ABTEST,0.9999999996770227
TEMPANL,JRNYANL,0.9999999999404426,CSSRVS,0.9999999998982382,WHLSLP,0.9999999998572109,DATARES,0.9999999997003005,SUPTKT,0.9999999995199698
TRNPIPE,GEOANL,0.999998851256271,RTDASH,0.9999985586091201,INVOPT,0.9999983112414546,CHURNP,0.9999972450839603,FINPLAN,0.9999967453181129
VIBEFLX,HEALTH,0.9999999999272916,SENTANL,0.9999999464646386,YGCLEB,0.9999999208745213,YGAMRKT,0.9999999130958886,YGSCPA,0.9999999115837448
WEBHOOK,PROJMG,0.9999999983119604,QUALITY,0.9999999964356117,RECV2,0.9999999948496211,MOBAPP,0.9999999899702915,CURRCNV,0.9999999840678591
WHLSLP,CSSRVS,0.9999999999955765,JRNYANL,0.9999999999809618,TEMPANL,0.9999999998572109,DEMAND,0.9999999998077006,DATARES,0.9999999993502956
XCHATTR,DYNPRC,0.9999999999871232,TAXCALC,0.999999999956921,SLSDB,0.9999999999509803,MKTDB,0.9999999999173931,ABTEST,0.9999999997867001
YELLOWS,KAFKA,0.9999999985743742,AIRFLW,0.9999999953721767,DDSD,0.9999999942386285,HMFRP,0.9999999889109482,ELASTIC,0.9999997655567712
YGAMRKT,YGSCPA,0.999999999993478,YGCLEB,0.999999999817676,SENTANL,0.9999999959752374,VIBEFLX,0.9999999130958886,HEALTH,0.999999907995884
YGASTORE,JIJOFS,0.9999999635925496,ELASTIC,0.9999999524861537,DDSD,0.9999996080062924,KAFKA,0.9999995588178865,YELLOWS,0.9999995072340925
YGCHRN,YGSCST,0.9999997509525264,YGCLV,0.9999997351404497,SELENE,0.9999996040732541,FEATSTR,0.9999982488485646,COMPLT,0.9992906248234389
YGCLEB,YGAMRKT,0.999999999817676,YGSCPA,0.9999999997421875,SENTANL,0.9999999975058851,VIBEFLX,0.9999999208745213,HEALTH,0.9999999160047905
YGCLV,YGCHRN,0.9999997351404497,SELENE,0.9999990333609399,YGSCST,0.9999989724312219,FEATSTR,0.9999976745105262,COMPLT,0.9992629508681211
YGSCPA,YGAMRKT,0.999999999993478,YGCLEB,0.9999999997421875,SENTANL,0.9999999956447094,VIBEFLX,0.9999999115837448,HEALTH,0.999999906440188
YGSCST,YGCHRN,0.9999997509525264,SELENE,0.9999996505384985,YGCLV,0.9999989724312219,FEATSTR,0.9999983028307461,COMPLT,0.9993169545279368
